timestamp,open,high,low,close,volume
2021-01-04 00:00:00,1.22345,1.22456,1.22234,1.22389,1250
2021-01-04 00:15:00,1.22389,1.22501,1.22278,1.22445,1380
2021-01-04 00:30:00,1.22445,1.22567,1.22334,1.22512,1420
2021-01-04 00:45:00,1.22512,1.22623,1.22401,1.22578,1350
2021-01-04 01:00:00,1.22578,1.22689,1.22467,1.22645,1480
2021-01-04 01:15:00,1.22645,1.22756,1.22534,1.22712,1520
2021-01-04 01:30:00,1.22712,1.22823,1.22601,1.22779,1390
2021-01-04 01:45:00,1.22779,1.22890,1.22668,1.22846,1450
2021-01-04 02:00:00,1.22846,1.22957,1.22735,1.22913,1560
2021-01-04 02:15:00,1.22913,1.23024,1.22802,1.22980,1620
